ins_1096701726,M4,j_783,1,Terminated,226235,226248,m_1005,1,1,117,523,0.08,0.11
ins_1143183956,R9_8,j_783,1,Terminated,226235,226491,m_1092,1,1,2,73,0.06,0.06
ins_938387820,J7_3_6,j_783,1,Terminated,226235,226488,m_931,1,1,9,102,0.84,0.88
ins_843367322,R8_7,j_783,1,Terminated,226235,226490,m_806,1,1,3,100,0.02,0.02
ins_1096701450,M4,j_783,1,Terminated,226235,226246,m_847,1,1,145,474,0.2,0.23
ins_1143183779,R9_8,j_783,1,Terminated,226235,226491,m_352,1,1,3,92,0.06,0.06
ins_491692175,R5_4,j_783,1,Terminated,226235,226267,m_1573,1,1,54,539,0.07,0.15
ins_491448120,R5_4,j_783,1,Terminated,226235,226267,m_1375,1,1,53,514,0.07,0.14
ins_938387073,J7_3_6,j_783,1,Terminated,226235,226488,m_1693,1,1,9,114,0.84,0.88
ins_938392827,J7_3_6,j_783,1,Terminated,226235,226490,m_1319,1,1,8,138,0.84,0.88
ins_1143184133,R9_8,j_783,1,Terminated,226235,226491,m_2353,1,1,3,84,0.06,0.06
ins_38914086,R2_1,j_783,1,Terminated,226235,226400,m_1155,1,1,62,196,0.33,0.7
ins_938398289,J7_3_6,j_783,1,Terminated,226235,226487,m_3250,1,1,9,175,0.84,0.88
ins_338446592,R6_5,j_783,1,Terminated,226235,226282,m_2520,1,1,44,532,0.06,0.17
ins_94144591,M1,j_783,1,Terminated,226235,226320,m_932,1,1,83,190,0.35,0.51
ins_491610178,R5_4,j_783,1,Terminated,226235,226265,m_108,1,1,54,450,0.07,0.15
ins_1096701368,M4,j_783,1,Terminated,226235,226245,m_2171,1,1,142,595,0.08,0.11
ins_338446507,R6_5,j_783,1,Terminated,226235,226284,m_1616,1,1,44,331,0.06,0.17
ins_491528247,R5_4,j_783,1,Terminated,226235,226267,m_2816,1,1,50,496,0.07,0.15
ins_938399137,J7_3_6,j_783,1,Terminated,226235,226483,m_1885,1,1,7,169,0.84,0.88
ins_1143184297,R9_8,j_783,1,Terminated,226235,226491,m_795,1,1,3,87,0.06,0.06
ins_338446159,R6_5,j_783,1,Terminated,226235,226281,m_2910,1,1,44,492,0.05,0.16
ins_843367250,R8_7,j_783,1,Terminated,226235,226490,m_1317,1,1,2,86,0.02,0.02
ins_843367115,R8_7,j_783,1,Terminated,226235,226490,m_3562,1,1,2,109,0.02,0.03
ins_1143183862,R9_8,j_783,1,Terminated,226235,226491,m_854,1,1,2,81,0.06,0.06
ins_338446246,R6_5,j_783,1,Terminated,226235,226283,m_3396,1,1,53,525,0.07,0.17
ins_1096701658,M4,j_783,1,Terminated,226235,226256,m_2827,1,1,146,681,0.12,0.19
ins_938386267,J7_3_6,j_783,1,Terminated,226235,226490,m_3764,1,1,8,116,0.83,0.88
ins_1096701785,M4,j_783,1,Terminated,226235,226245,m_223,1,1,143,573,0.08,0.11
ins_938388661,J7_3_6,j_783,1,Terminated,226235,226488,m_482,1,1,8,125,0.83,0.88
ins_1143184050,R9_8,j_783,1,Terminated,226235,226491,m_2385,1,1,2,76,0.06,0.06
ins_843367389,R8_7,j_783,1,Terminated,226235,226491,m_3562,1,1,2,124,0.02,0.03
ins_491772502,R5_4,j_783,1,Terminated,226235,226265,m_892,1,1,50,465,0.08,0.16
ins_843367183,R8_7,j_783,1,Terminated,226235,226490,m_2813,1,1,2,175,0.21,0.22
ins_938397450,J7_3_6,j_783,1,Terminated,226235,226487,m_1510,1,1,8,154,0.84,0.88
ins_843367456,R8_7,j_783,1,Terminated,226235,226490,m_1016,1,1,2,83,0.02,0.02
ins_491205942,R5_4,j_783,1,Terminated,226235,226266,m_658,1,1,52,563,0.06,0.14
ins_843367514,R8_7,j_783,1,Terminated,226235,226490,m_142,1,1,2,87,0.02,0.02
ins_338446069,R6_5,j_783,1,Terminated,226235,226283,m_3635,1,1,43,368,0.06,0.16
ins_338446419,R6_5,j_783,1,Terminated,226235,226284,m_1616,1,1,42,463,0.06,0.16
ins_1143183707,R9_8,j_783,1,Terminated,226235,226491,m_926,1,1,3,133,0.06,0.06
ins_338446674,R6_5,j_783,1,Terminated,226235,226282,m_3652,1,1,45,324,0.05,0.17
ins_1143183624,R9_8,j_783,1,Terminated,226235,226491,m_834,1,1,2,68,0.06,0.06
ins_491366505,R5_4,j_783,1,Terminated,226235,226267,m_841,1,1,50,459,0.06,0.15
ins_1096701862,M4,j_783,1,Terminated,226235,226245,m_1648,1,1,141,499,0.08,0.11
ins_938399910,J7_3_6,j_783,1,Terminated,226235,226489,m_3576,1,1,8,107,0.84,0.88
ins_1143183533,R9_8,j_783,1,Terminated,226235,226491,m_2570,1,1,3,93,0.06,0.06
ins_1231507012,R3_2,j_783,1,Terminated,226235,226477,m_3950,1,1,56,833,0.24,0.9
ins_843367571,R8_7,j_783,1,Terminated,226235,226490,m_2642,1,1,2,86,0.02,0.02
ins_843366762,R8_7,j_783,1,Terminated,226235,226490,m_761,1,1,1,116,0.02,0.03
ins_1310568689,M1,j_66,1,Terminated,178511,178521,m_1296,1,1,81,90,0.04,0.05
ins_413131410,M2,j_66,1,Terminated,178511,178513,m_2684,1,1,78,87,0.03,0.04
ins_1310568618,M1,j_66,1,Terminated,178511,178521,m_3789,1,1,84,96,0.04,0.05
ins_1310568492,M1,j_66,1,Terminated,178511,178521,m_3315,1,1,85,98,0.04,0.05
ins_684095357,J3_1_2,j_66,1,Terminated,178524,178533,m_3032,1,1,94,99,0.03,0.03
ins_1310568549,M1,j_66,1,Terminated,178511,178521,m_1264,1,1,81,88,0.04,0.06
ins_1195320942,M5_4,j_49,1,Terminated,231440,231492,m_3504,1,1,149,275,0.48,0.7
ins_388486410,J6_2_5,j_49,1,Terminated,231440,231718,m_830,1,1,83,156,0.1,0.12
ins_1113462611,R7_6,j_49,1,Terminated,231440,231727,m_969,1,1,10,94,0.1,0.1
ins_388486318,J6_2_5,j_49,1,Terminated,231440,231727,m_482,1,1,76,154,0.1,0.12
ins_1113462793,R7_6,j_49,1,Terminated,231440,231727,m_1102,1,1,2,94,0.18,0.18
ins_1113462700,R7_6,j_49,1,Terminated,231440,231727,m_2333,1,1,2,87,0.05,0.05
ins_571467936,R2_1,j_49,1,Terminated,231440,231441,m_3505,1,1,69,76,0.02,0.02
ins_388486142,J6_2_5,j_49,1,Terminated,231440,231716,m_2978,1,1,88,167,0.25,0.27
ins_962351258,R4_3,j_49,1,Terminated,231440,231440,m_1102,1,1,48,55,0.03,0.03
ins_959699344,M3,j_49,1,Terminated,231440,231440,m_656,1,1,80,80,0.02,0
ins_1032259885,M1,j_49,1,Terminated,231440,231441,m_2973,1,1,79,100,0.02,0.02
ins_1291638405,J7_5_6,j_79,1,Terminated,349657,349662,m_1719,1,1,56,200,0.35,0.43
ins_1291638233,J7_5_6,j_79,1,Terminated,349657,349662,m_1437,1,1,56,200,0.34,0.43
ins_1325563651,R2_5,j_79,1,Terminated,349657,349658,m_1839,1,1,21,78,0.03,0.03
ins_628350950,M4_1_2_3,j_79,1,Terminated,349657,349660,m_3226,1,1,47,98,0.03,0.03
ins_1167156616,R8_4_7,j_79,1,Terminated,349657,349663,m_657,1,1,11,57,0.06,0.07
ins_1067656151,R1_5,j_79,1,Terminated,349657,349658,m_3469,1,1,29,94,0.03,0.03
ins_1167156440,R8_4_7,j_79,1,Terminated,349657,349663,m_769,1,1,12,61,0.06,0.07
ins_439837713,R3_5,j_79,1,Terminated,349657,349659,m_1901,1,1,33,58,0.03,0.03
ins_1167156527,R8_4_7,j_79,1,Terminated,349657,349663,m_3444,1,1,12,81,0.06,0.07
ins_1291638317,J7_5_6,j_79,1,Terminated,349657,349662,m_3327,1,1,60,237,0.34,0.43
ins_1167156860,R8_4_7,j_79,1,Terminated,349657,349663,m_2464,1,1,12,85,0.06,0.07
ins_735235380,M5,j_79,1,Terminated,349657,349658,m_2299,1,1,108,114,0.02,0.02
ins_427470210,M6,j_79,1,Terminated,349657,349660,m_258,1,1,84,137,0.11,0.11
ins_628351134,M4_1_2_3,j_79,1,Terminated,349657,349662,m_1135,1,1,67,105,0.03,0.04
ins_628351044,M4_1_2_3,j_79,1,Terminated,349657,349660,m_3435,1,1,51,85,0.02,0.03
ins_1167156699,R8_4_7,j_79,1,Terminated,349657,349663,m_628,1,1,12,55,0.06,0.07
ins_1167156368,R8_4_7,j_79,1,Terminated,349657,349663,m_1214,1,1,12,92,0.06,0.07
ins_1167156782,R8_4_7,j_79,1,Terminated,349657,349662,m_2034,1,1,11,75,0.06,0.07
ins_42160834,R8_7,j_293,1,Terminated,333930,333931,m_3578,1,1,54,66,0.02,0.02
ins_202421954,J3_1_2,j_293,1,Terminated,333930,333931,m_1908,1,1,73,95,0.02,0.02
ins_1237598018,J6_4_5,j_293,1,Terminated,333930,333931,m_2415,1,1,64,64,0.03,0
ins_467482961,R7_3_6,j_293,1,Terminated,333930,333931,m_2138,1,1,41,41,0.02,0
ins_1237598214,J6_4_5,j_293,1,Terminated,333930,333931,m_2463,1,1,60,60,0.02,0
ins_202421790,J3_1_2,j_293,1,Terminated,333930,333931,m_2033,1,1,75,75,0.02,0
ins_485180434,R9_8,j_293,1,Terminated,333930,333931,m_1066,1,1,32,79,0.04,0.06
ins_467482114,R7_3_6,j_293,1,Terminated,333930,333931,m_3061,1,1,44,78,0.02,0.02
ins_234331881,M1,j_293,1,Terminated,333930,333931,m_2298,1,1,78,84,0.02,0.02
ins_467478759,R7_3_6,j_293,1,Terminated,333930,333931,m_440,1,1,42,42,0.02,0
ins_1237597920,J6_4_5,j_293,1,Terminated,333930,333931,m_2208,1,1,79,93,0.02,0.02
ins_202421711,J3_1_2,j_293,1,Terminated,333930,333931,m_1153,1,1,69,69,0.02,0
ins_467481250,R7_3_6,j_293,1,Terminated,333930,333931,m_478,1,1,47,63,0.02,0.02
ins_467479569,R7_3_6,j_293,1,Terminated,333930,333931,m_472,1,1,41,80,0.02,0.02
ins_981497925,M5,j_293,1,Terminated,333930,333931,m_1375,1,1,82,90,0.02,0.02
ins_1172092068,M4,j_293,1,Terminated,333930,333931,m_4013,1,1,83,83,0.02,0
ins_467480319,R7_3_6,j_293,1,Terminated,333930,333931,m_2961,1,1,40,54,0.02,0.02
ins_467483861,R7_3_6,j_293,1,Terminated,333930,333931,m_894,1,1,42,44,0.02,0.02
ins_774674795,M2,j_293,1,Terminated,333930,333931,m_1399,1,1,86,86,0.02,0
ins_30496252,J4_2_3,j_230,1,Terminated,668551,668554,m_3380,1,1,38,75,0.42,0.81
ins_9232112,M3,j_230,1,Terminated,668551,668553,m_534,1,1,65,146,0.03,0.03
ins_133458221,R9_1_8,j_230,1,Terminated,668551,668557,m_4010,1,1,10,69,0.1,0.11
ins_133458307,R9_1_8,j_230,1,Terminated,668551,668557,m_2209,1,1,9,76,0.1,0.11
ins_910260642,J8_4_5_7,j_230,1,Terminated,668551,668557,m_2854,1,1,36,161,0.6,0.83
ins_910260564,J8_4_5_7,j_230,1,Terminated,668551,668557,m_1689,1,1,34,130,0.64,0.87
ins_133458458,R9_1_8,j_230,1,Terminated,668551,668557,m_3790,1,1,11,59,0.1,0.11
ins_542822837,M1,j_230,1,Terminated,668551,668553,m_3036,1,1,50,120,0.02,0.03
ins_866178446,M5,j_230,1,Terminated,668551,668552,m_1837,1,1,77,78,0.02,0.02
ins_910260717,J8_4_5_7,j_230,1,Terminated,668551,668557,m_3041,1,1,50,116,0.77,0.99
ins_133458708,R9_1_8,j_230,1,Terminated,668551,668557,m_3813,1,1,10,93,0.1,0.11
ins_133458540,R9_1_8,j_230,1,Terminated,668551,668557,m_3256,1,1,11,90,0.15,0.16
ins_910261026,J8_4_5_7,j_230,1,Terminated,668551,668557,m_126,1,1,32,112,0.69,0.92
ins_1073025934,M2,j_230,1,Terminated,668551,668554,m_2505,1,1,93,136,0.03,0.03
ins_30496428,J4_2_3,j_230,1,Terminated,668551,668554,m_2159,1,1,39,97,0.61,0.81
ins_30496344,J4_2_3,j_230,1,Terminated,668551,668554,m_3800,1,1,39,98,0.42,0.81
ins_910260794,J8_4_5_7,j_230,1,Terminated,668551,668557,m_2286,1,1,35,130,0.64,0.87
ins_133458382,R9_1_8,j_230,1,Terminated,668551,668557,m_2764,1,1,10,60,0.12,0.13
ins_960023865,R7_6,j_230,1,Terminated,668551,668556,m_2746,1,1,62,333,0.03,0.04
ins_1127937513,M6,j_230,1,Terminated,668551,668555,m_1766,1,1,85,89,0.14,0.14
ins_133458788,R9_1_8,j_230,1,Terminated,668551,668557,m_1531,1,1,10,74,0.12,0.13
